WP-Line111 DataID´s:;;;;;;;;;;;;;;;;;;
Revision = 1.4.0;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 9542;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U16       
21  ;33   ;Module Count                  ;ModuleCnt                     ;1           ;SCALE_NONE     ;1           ;0              ;VALUE_INPUT         ;UNIT_NONE      ;1       ;1       ;1       ;500     ;0       ;0       ;0       ;1       ;TYPE_U8        
22  ;34   ;Master PSU                    ;MasterPsu                     ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;500     ;0       ;0       ;0       ;1       ;TYPE_U8        
23  ;35   ;Supply +24V                   ;24Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
24  ;36   ;CAN external V                ;CANExtV                       ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
25  ;37   ;CAN internal V                ;CANIntV                       ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
26  ;38   ;COM1 Mode                     ;COM1_Mode                     ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_OUTPUT        ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
27  ;39   ;COM1 Baudrate                 ;COM1_Baud                     ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_OUTPUT        ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
28  ;40   ;COM1 Databits                 ;COM1_DataBits                 ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_OUTPUT        ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
29  ;41   ;COM1 Stopbits                 ;COM1_StopBits                 ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_OUTPUT        ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
2A  ;42   ;COM1 Parity                   ;COM1_Parity                   ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_OUTPUT        ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
2B  ;43   ;COM1 Acknowledgement          ;COM1_acknowledgement          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_OUTPUT        ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
2C  ;44   ;COM1 Activation               ;COM1_activation               ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_OUTPUT        ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
2D  ;45   ;TX COM1                       ;COM1_TX                       ;1           ;SCALE_NONE     ;0           ;0              ;NON_VALUE_OUTPUT    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_COM       
2E  ;46   ;RX COM1                       ;COM1_RX                       ;1           ;SCALE_NONE     ;0           ;0              ;NON_VALUE_INPUT     ;UNIT_NONE      ;1       ;1       ;1       ;0       ;0       ;0       ;0       ;0       ;TYPE_COM       
2F  ;47   ;BBN 1 Port On/Off             ;BBN 1                         ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
30  ;48   ;BBN 1 Port Speed              ;BBN 1 Speed                   ;1           ;SCALE_NONE     ;100         ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
31  ;49   ;BBN 1 Duplex Half(0)/Full(1)  ;BBN 1 Duplex                  ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
32  ;50   ;BBN 1 Auto Negotiation        ;BBN 1 AutoNego                ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
33  ;51   ;BBN 4 On/Off                  ;BBN 4                         ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
34  ;52   ;BBN 4 Speed                   ;BBN 4 Speed                   ;1           ;SCALE_NONE     ;100         ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
35  ;53   ;BBN 4 Duplex Half(0)/Full(1)  ;BBN 4 Duplex                  ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
36  ;54   ;BBN 4 Auto Negotiation        ;BBN 4 AutoNego                ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
37  ;55   ;BBN 2 Port On/Off             ;BBN 2                         ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
38  ;56   ;BBN 3 Port On/Off             ;BBN 3                         ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
39  ;57   ;BBN 1 VLAN                    ;BBN 1 VLAN                    ;1           ;SCALE_NONE     ;23456       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
3A  ;58   ;BBN 2 VLAN                    ;BBN 2 VLAN                    ;1           ;SCALE_NONE     ;13456       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
3B  ;59   ;BBN 3 VLAN                    ;BBN 3 VLAN                    ;1           ;SCALE_NONE     ;12456       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
3C  ;60   ;BBN 4 VLAN                    ;BBN 4 VLAN                    ;1           ;SCALE_NONE     ;12356       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
3D  ;61   ;Internal Port VLAN            ;InternalPort VLAN             ;1           ;SCALE_NONE     ;12345       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
3E  ;62   ;BBN 1 Sniffer On/Off          ;BBN 1 Sniffer                 ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
3F  ;63   ;Supply +12V                   ;12Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
40  ;64   ;Supply +12V Noise             ;12VolNoise                    ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
41  ;65   ;Supply +12V #1 Toggle Time    ;12Vol1Toggle                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_SECOND    ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
42  ;66   ;Supply +12V #1 Active         ;12Vol1Active                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;500     ;0       ;0       ;0       ;1       ;TYPE_U8        
43  ;67   ;Supply +12V #2 Toggle Time    ;12Vol2Toggle                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_SECOND    ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
44  ;68   ;Supply +12V #2 Active         ;12Vol2Active                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;500     ;0       ;0       ;0       ;1       ;TYPE_U8        
45  ;69   ;Supply +3.3V                  ;3V3                           ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
46  ;70   ;Supply +12V feedback          ;FBack                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
47  ;71   ;Supply +3A                    ;12VolCur                      ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_AMPERE    ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
48  ;72   ;Surveillance                  ;Surveillance                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
49  ;73   ;Ethernet Switch Reset         ;SwitchReset                   ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
4A  ;74   ;BBN 5 Port On/Off             ;BBN 5                         ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
4B  ;75   ;BBN 5 Port Speed              ;BBN 5 Speed                   ;1           ;SCALE_NONE     ;10          ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
4C  ;76   ;BBN 5 Duplex Half(0)/Full(1)  ;BBN 5 Duplex                  ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
