WP-Line151 DataID´s:;;;;;;;;;;;;;;;;;;
Revision = 3.0.1;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 7508;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;1       ;0       ;1       ;100     ;0       ;0       ;0       ;0       ;TYPE_U16       
21  ;33   ;Periods pr. update            ;PeriodsPrUpdate               ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
22  ;34   ;Voltage L1                    ;PVL1                          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
23  ;35   ;Voltage L2                    ;PVL2                          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
24  ;36   ;Voltage L3                    ;PVL3                          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
25  ;37   ;Phase Voltage                 ;PVAvg                         ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
26  ;38   ;Net Voltage                   ;PVNet                         ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;3       ;TYPE_U32       
27  ;39   ;Current L1                    ;PIL1                          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_AMPERE    ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;0       ;TYPE_U16       
28  ;40   ;Current L2                    ;PIL2                          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_AMPERE    ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;0       ;TYPE_U16       
29  ;41   ;Current L3                    ;PIL3                          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_AMPERE    ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;0       ;TYPE_U16       
2A  ;42   ;Current                       ;PIAvg                         ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_AMPERE    ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;0       ;TYPE_U16       
2B  ;43   ;Cos Phi                       ;PCosPhiAvg                    ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_INPUT         ;UNIT_NONE      ;1       ;1       ;10      ;100     ;0       ;0       ;0       ;1       ;TYPE_S16       
2C  ;44   ;Angle Phi                     ;PAnglePhiAvg                  ;1000        ;SCALE_DIV      ;0           ;0              ;VALUE_INPUT         ;UNIT_DEGREE    ;1       ;1       ;100     ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
2D  ;45   ;Frequency                     ;SysFreq                       ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_INPUT         ;UNIT_HERTZ     ;1       ;1       ;100     ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
2E  ;46   ;Max L1 Vectorjump             ;PVjL1Max                      ;1000000     ;SCALE_DIV      ;0           ;6              ;VALUE_INPUT         ;UNIT_SECOND    ;1       ;1       ;5       ;100     ;0       ;0       ;0       ;0       ;TYPE_S32       
2F  ;47   ;Max L2 Vectorjump             ;PVjL2Max                      ;1000000     ;SCALE_DIV      ;0           ;6              ;VALUE_INPUT         ;UNIT_SECOND    ;1       ;1       ;5       ;100     ;0       ;0       ;0       ;0       ;TYPE_S32       
30  ;48   ;Max L3 Vectorjump             ;PVjL3Max                      ;1000000     ;SCALE_DIV      ;0           ;6              ;VALUE_INPUT         ;UNIT_SECOND    ;1       ;1       ;5       ;100     ;0       ;0       ;0       ;0       ;TYPE_S32       
31  ;49   ;Max L123 Vectorjump           ;PVjAvgMax                     ;1000000     ;SCALE_DIV      ;0           ;6              ;VALUE_INPUT         ;UNIT_SECOND    ;1       ;1       ;5       ;100     ;0       ;0       ;0       ;0       ;TYPE_S32       
32  ;50   ;Angle L1-L2                   ;AngleVL12                     ;1000        ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_DEGREE    ;1       ;1       ;100     ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
33  ;51   ;Angle L1-L3                   ;AngleVL13                     ;1000        ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_DEGREE    ;1       ;1       ;100     ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
34  ;52   ;Angle L2-L3                   ;AngleVL23                     ;1000        ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_DEGREE    ;1       ;1       ;100     ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
35  ;53   ;Power Factor                  ;PPSAvg                        ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_INPUT         ;UNIT_NONE      ;1       ;1       ;10      ;100     ;0       ;0       ;0       ;1       ;TYPE_U16       
36  ;54   ;Active Power                  ;PPSum                         ;1000        ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_KWATT     ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;3       ;TYPE_S32       
37  ;55   ;Apperent Power                ;PSSum                         ;1000        ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_KVA       ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;1       ;TYPE_U32       
38  ;56   ;Reactive Power                ;PQSum                         ;1000        ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_KVAR      ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;3       ;TYPE_S32       
