WP-Line243 DataID’s:;;;;;;;;;;;;;;;;;;
Revision = 2.0.8;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 4525;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29;Max temperature               ;MaxTmp                        ;10;SCALE_DIV      ;850;1;PARAMETER           ;UNIT_CELSIUS   ;0;0;0;0;0;0;0;1;TYPE_S16       
20;32;DataID Count                  ;DataIdCnt                     ;1;SCALE_NONE     ;0;0;LOCAL               ;UNIT_NONE      ;0;0;0;0;0;0;0;1;TYPE_U16       
21;33;ADC Resolution                ;ADC_Res                       ;1;SCALE_NONE     ;0;0;VALUE_INPUT         ;UNIT_NONE      ;1;0;1;10000;0;0;0;1;TYPE_U16       
22;34;PowerSupply Status            ;PS_Status                     ;1;SCALE_NONE     ;0;0;BIT_INPUT           ;UNIT_NONE      ;1;1;1;100;0;0;0;1;TYPE_U8        
23;35;1 PT100 In                    ;1;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
24;36;2 PT100 In                    ;2;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
25;37;3 PT100 In                    ;3;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
26;38;4 PT100 In                    ;4;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
27;39;5 PT100 In                    ;5;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
28;40;6 PT100 In                    ;6;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
29;41;7 PT100 In                    ;7;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
2A  ;42;8 PT100 In                    ;8;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
2B  ;43;9 PT100 In                    ;9;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
2C  ;44;10 PT100 In                   ;10;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
2D  ;45;11 PT100 In                   ;11;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
2E  ;46;12 PT100 In                   ;12;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
2F  ;47;13 PT100 In                   ;13;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
30;48;14 PT100 In                   ;14;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
31;49;15 PT100 In                   ;15;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
32;50;16 PT100 In                   ;16;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
33;51;17 PT100 In                   ;17;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
34;52;18 PT100 In                   ;18;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
35;53;19 PT100 In                   ;19;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
36;54;20 PT100 In                   ;20;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
37;55;21 PT100 In                   ;21;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
38;56;22 PT100 In                   ;22;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
39;57;23 PT100 In                   ;23;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
3A  ;58;24 PT100 In                   ;24;10;SCALE_DIV      ;0;0;VALUE_INPUT         ;UNIT_CELSIUS   ;1;1;1;5000;0;0;0;1;TYPE_S16       
